author,250-499,500-749,750-999,<250,>=1000
A.B. Yehoshua,1,1,0,0,0
A.D.P. Briggs,1,0,0,0,0
A.E. Cunningham,0,0,0,1,0
A.J. Jacobs,1,0,0,0,0
A.M. Homes,1,0,0,0,0
A.N. Roquelaure,0,1,0,3,0
A.S. Byatt,1,1,0,0,0
Abbie Hoffman,0,0,0,1,0
Abdul Rahman Munif,0,1,0,0,0
Abigail Adams,0,1,0,0,0
Abigail Thomas,0,0,0,1,0
Abolqasem Ferdowsi,0,0,1,0,0
Abraham Lincoln,0,1,1,2,0
Adam  Sexton,0,0,0,1,0
Adam Drozdek,0,1,1,0,0
Adam Ginsberg,1,0,0,0,0
Adam Gopnik,2,0,0,0,0
Adam Hochschild,3,0,0,0,0
Adam Mansbach,1,0,0,0,0
Adam Rex,0,0,0,1,0
Adam Smith,0,0,0,0,2
Adam Swift,0,0,0,2,0
Adam Woog,0,0,0,1,0
Adolfo Bioy Casares,1,0,0,0,0
Adrian Guelke,0,1,0,0,0
Adrian McKinty,3,0,0,0,0
Adèle Geras,0,0,0,1,0
Aeschylus,4,0,0,10,0
Aesop,1,0,0,1,0
Agatha Christie,20,4,1,20,0
Ai Morinaga,0,0,0,1,0
Aidan Hartley,1,0,0,0,0
Aimee Bender,0,0,0,1,0
Aimé Césaire,0,0,0,2,0
Akira Yoshida,0,0,0,1,0
Al Franken,3,0,0,1,0
Al Gore,1,0,0,0,0
Al Ries,1,0,0,4,0
Alain de Botton,5,0,0,2,0
Alan  Lee,0,0,0,1,0
Alan Aldridge,1,0,0,0,0
Alan Brennert,1,0,0,0,0
Alan Cohen,1,0,0,0,0
Alan Dean Foster,18,0,1,4,0
Alan Hausman,0,1,0,0,0
Alan Hollinghurst,2,0,0,0,0
Alan Lightman,1,0,0,1,0
Alan MacGillivray,0,0,0,1,0
Alan Moore,2,0,0,0,0
Alan Paton,2,0,0,1,0
Alastair Lamb,0,0,0,1,0
Albert Camus,6,1,0,15,0
Albert Demeo,1,0,0,0,0
Albert Einstein,1,0,0,3,0
Albert Ellis,1,0,0,0,0
Albert Jack,1,0,0,0,0
Albert Marrin,0,0,0,1,0
Albert Speer,1,0,0,0,0
Alcoholics Anonymous,1,1,0,0,0
Alden T. Vaughan,0,0,0,1,0
Aldon D. Morris,1,0,0,0,0
Aldous Huxley,13,0,0,3,0
Alec MacLellan,0,0,0,1,0
Aleksandr Solzhenitsyn,0,1,0,1,0
Alex Austin,0,0,0,1,0
Alex C. Jones,1,0,0,0,0
Alex Constantine,1,0,0,0,0
Alex Cox,0,0,0,1,0
Alex Kotlowitz,1,0,0,0,0
Alex Ross,1,0,0,0,0
Alex Went,0,0,0,1,0
Alexander  Walker,1,0,0,0,0
Alexander C. Irvine,1,0,0,0,0
Alexander Heidel,1,0,0,0,0
Alexander Hunter,0,1,0,0,0
Alexander McCall Smith,6,0,0,11,0
Alexander Payne,0,0,0,2,0
Alexander Pope,0,1,1,0,0
Alexander Pushkin,3,0,0,4,1
Alexandra Moss,0,0,0,3,0
Alexandra Robbins,1,0,0,0,0
Alexandra Siy,0,0,0,1,0
Alexandre Dumas,1,3,1,2,2
Alexandre Dumas fils,1,0,0,0,0
Alexis de Tocqueville,1,2,1,0,0
Alfred D. Chandler Jr.,0,1,0,0,0
Alfred Hitchcock,0,1,0,0,0
Alfred Uhry,0,0,0,1,0
Ali Vali,0,0,0,1,0
Alice   Miller,0,0,0,3,0
Alice Dalgliesh,0,0,0,2,0
Alice Hoffman,5,0,0,2,0
Alice Kaplan,1,0,0,0,0
Alice Medrich,1,0,0,3,0
Alice Munro,6,2,0,2,0
Alice Randall,0,0,0,1,0
Alice Sebold,3,1,0,0,0
Alice Walker,1,0,0,1,0
Alice Wong,1,0,0,0,0
Alison Baverstock,0,0,0,1,0
Alison Bechdel,0,0,0,1,0
Alison Weir,1,1,0,0,0
Alistair Horne,0,1,0,0,0
Alistair MacLeod,1,0,0,0,0
Alistair McCallum,0,0,0,1,0
Alistair Moffat,1,0,0,0,0
Alister E. McGrath,1,2,0,0,0
Aljean Harmetz,0,0,0,1,0
Allan C. Weisbecker,1,0,0,0,0
Allan Janik,1,0,0,0,0
Allan Zola Kronzek,1,0,0,0,0
Allegra Goodman,1,0,0,0,0
Allen Carr,0,0,0,1,0
Allen Ginsberg,0,0,0,2,0
Allen J. Frantzen,0,0,0,1,0
Allison Pearson,2,0,0,0,0
Alma Flor Ada,0,0,0,2,0
Alvin L. Reid,0,0,0,1,0
Amanda Clark,1,0,0,0,0
Amanda Eyre Ward,1,0,0,0,0
Amanda Hemingway,1,0,0,0,0
Amartya Sen,2,0,0,1,0
Amelia Atwater-Rhodes,1,0,0,4,0
America's Test Kitchen,1,0,0,0,0
Amir D. Aczel,1,0,0,0,0
Amitav Ghosh,1,0,0,0,0
Amos Oz,0,1,0,0,0
Amy Cotler,0,0,0,1,0
Amy Goldman Koss,0,0,0,1,0
Amy Krouse Rosenthal,0,0,0,3,0
Amy L. Marsland,0,0,0,1,0
Amy Sedaris,1,0,0,1,0
Amy Sohn,0,0,0,1,0
Amy Tan,7,0,0,3,0
Amy Taubin,0,0,0,1,0
Anaïs Nin,10,0,0,3,0
Anderson Cooper,0,0,0,1,0
Andre Dubus,1,0,0,2,0
Andre Dubus III,0,0,0,1,0
Andre Duza,1,0,0,0,0
Andrea Camilleri,2,0,0,1,0
Andrea Levy,2,0,0,0,0
Andrea Wilson Nightingale,0,0,0,1,0
Andreas Gursky,0,0,0,1,0
Andreas J. Köstenberger,1,0,0,0,0
Andrei Codrescu,1,0,0,0,0
Andrew      Hunt,0,0,0,1,0
Andrew    Hunt,1,0,0,0,0
Andrew Carnegie,1,0,0,0,0
Andrew Cartmel,1,0,0,0,0
Andrew Delbanco,1,0,0,0,0
Andrew Heintzman,1,0,0,0,0
Andrew Helfer,0,0,0,1,0
Andrew Hussey,1,0,0,0,0
Andrew J. Offutt,0,0,0,2,0
Andrew James McLean,1,0,0,0,0
Andrew M. Greeley,1,0,0,0,0
Andrew P. Trout,1,0,0,0,0
Andrew Solomon,0,2,0,0,0
Andrew Weil,1,0,0,0,0
Andrew X. Pham,1,0,0,0,0
Andrés Duany,1,0,0,0,0
Andy Griffiths,0,0,0,2,0
Andy Hertzfeld,1,0,0,0,0
Andy Hunt,1,0,0,0,0
Andy McNab,1,0,0,0,0
Andy Warhol,1,0,0,0,0
Angela Knight,10,0,0,0,0
Angus Gellatly,0,0,0,1,0
Angus Wells,0,2,0,0,0
Anita Desai,0,0,0,3,0
Anita Diamant,4,0,0,0,0
